ZIP Code,One Dose Administered,Persons Fully Vaccinated
62668,637 (50.92%),607 (48.52%)
62670,"1,859 (64.48%)","1,759 (61.01%)"
62671,249 (51.13%),237 (48.67%)
62672,81 (39.71%),78 (38.24%)
62673,208 (44.64%),199 (42.7%)
62674,560 (40.06%),524 (37.48%)
62675,"3,479 (59.28%)","3,272 (55.75%)"
62677,"1,497 (65.98%)","1,426 (62.85%)"
62681,"2,649 (47.71%)","2,551 (45.95%)"
62682,354 (35.9%),341 (34.58%)
62684,"3,530 (60.23%)","3,366 (57.43%)"
62685,905 (37.46%),857 (35.47%)
62688,338 (56.15%),322 (53.49%)
62689,244 (48.51%),235 (46.72%)
62690,"2,020 (50.61%)","1,881 (47.13%)"
62691,"1,166 (58.95%)","1,118 (56.52%)"
62692,931 (43.87%),893 (42.08%)
62693,"1,128 (74.7%)","1,088 (72.05%)"
62694,"1,429 (47.04%)","1,369 (45.06%)"
62695,211 (97.69%),200 (92.59%)
62701,802 (66.5%),736 (61.03%)
62702,"17,960 (52.74%)","16,744 (49.17%)"
62703,"14,000 (45.29%)","13,007 (42.08%)"
62704,"25,100 (61.48%)","23,677 (57.99%)"
62707,"4,343 (62.72%)","4,082 (58.95%)"
62711,"13,632 (81.38%)","13,003 (77.62%)"
62712,"7,147 (69.77%)","6,842 (66.8%)"
62801,"9,491 (44.26%)","8,897 (41.49%)"
62803,531 (49.26%),510 (47.31%)
62806,"1,234 (36.82%)","1,181 (35.24%)"
62807,275 (39.17%),254 (36.18%)
62808,673 (46.8%),636 (44.23%)
62809,98 (68.06%),99 (68.75%)
62810,348 (41.73%),326 (39.09%)
62811,87 (38.33%),79 (34.8%)
62812,"4,615 (42.32%)","4,278 (39.23%)"
62814,658 (33.83%),616 (31.67%)
62815,100 (34.84%),94 (32.75%)
62816,462 (38.56%),427 (35.64%)
62817,168 (36.6%),152 (33.12%)
62818,110 (41.83%),104 (39.54%)
62819,185 (45.34%),174 (42.65%)
62820,67 (44.08%),62 (40.79%)
62821,"3,119 (43.47%)","2,899 (40.4%)"
62822,"1,264 (40.89%)","1,179 (38.14%)"
62823,514 (30.24%),497 (29.24%)
62824,565 (33.02%),552 (32.26%)
62825,98 (48.28%),96 (47.29%)
62827,388 (33.02%),348 (29.62%)
62828,537 (40.25%),504 (37.78%)
62830,530 (42.57%),503 (40.4%)
62831,285 (69.17%),273 (66.26%)
62832,"4,232 (47.83%)","3,914 (44.24%)"
62833,131 (35.31%),130 (35.04%)
62835,441 (44.41%),413 (41.59%)
62836,254 (31.75%),230 (28.75%)
62837,"3,797 (42.38%)","3,618 (40.38%)"
62838,445 (24.5%),428 (23.57%)
62839,"2,527 (39.5%)","2,391 (37.38%)"
62841,103 (78.63%),90 (68.7%)
62842,248 (34.4%),235 (32.59%)
62843,24 (19.51%),24 (19.51%)
62844,784 (35.86%),735 (33.62%)
62846,"1,202 (44.45%)",972 (35.95%)
62848,244 (34.08%),234 (32.68%)
62849,696 (33.14%),659 (31.38%)
62850,80 (22.28%),74 (20.61%)
62851,128 (79.01%),116 (71.6%)
62852,61 (100%),55 (90.16%)
62853,357 (36.17%),340 (34.45%)
62854,524 (30.54%),485 (28.26%)
62856,103 (26.34%),95 (24.3%)
62858,"1,054 (37.78%)","1,006 (36.06%)"
62859,"1,992 (34.17%)","1,865 (32%)"
62860,235 (43.04%),222 (40.66%)
62861,26 (15.76%),25 (15.15%)
62862,129 (39.09%),121 (36.67%)
62863,"4,200 (42.75%)","4,007 (40.79%)"
62864,"10,525 (44.62%)","9,685 (41.06%)"
62865,917 (46.38%),860 (43.5%)
62867,179 (35.38%),166 (32.81%)
62868,662 (38.16%),622 (35.85%)
62869,987 (36.69%),906 (33.68%)
62870,817 (39.09%),777 (37.18%)
62871,270 (46.63%),256 (44.21%)
62872,381 (35.71%),337 (31.58%)
62874,112 (26.99%),107 (25.78%)
62875,425 (33.92%),401 (32%)
62876,115 (72.33%),112 (70.44%)
62877,240 (41.74%),223 (38.78%)
62878,93 (20.99%),85 (19.19%)
62879,*,*
62880,275 (38.95%),261 (36.97%)
62881,"4,625 (42.66%)","4,385 (40.44%)"
62882,767 (32.13%),718 (30.08%)
62883,329 (36.6%),310 (34.48%)
62884,"1,352 (49.78%)","1,260 (46.39%)"
62885,264 (36.57%),260 (36.01%)
62886,109 (38.93%),101 (36.07%)
62887,88 (19.17%),80 (17.43%)
62888,822 (41.43%),767 (38.66%)
62889,348 (37.1%),328 (34.97%)
62890,903 (32.38%),835 (29.94%)
62891,246 (37.67%),235 (35.99%)
62892,105 (28.07%),101 (27.01%)
62893,387 (39.01%),371 (37.4%)
62894,421 (39.68%),402 (37.89%)
62895,683 (33.68%),649 (32%)
62896,"5,001 (41.1%)","4,591 (37.73%)"
62897,170 (46.96%),162 (44.75%)
62898,823 (36.02%),759 (33.22%)
62899,494 (26%),474 (24.95%)
62901,"11,956 (45.6%)","10,889 (41.53%)"
62902,"2,774 (60.73%)","2,591 (56.72%)"
62903,"1,660 (51.7%)","1,533 (47.74%)"
62905,443 (87.72%),399 (79.01%)
62906,"3,972 (60.32%)","3,673 (55.78%)"
62907,977 (48.97%),916 (45.91%)
62908,145 (29.23%),132 (26.61%)
62910,693 (29.3%),620 (26.22%)
62912,479 (35.8%),448 (33.48%)
62914,591 (21.59%),505 (18.44%)
62915,342 (80.47%),318 (74.82%)
62916,385 (38.77%),358 (36.05%)
62917,"1,057 (46.46%)",964 (42.37%)
62918,"5,807 (57.18%)","5,467 (53.84%)"
62919,312 (29.66%),293 (27.85%)
62920,"1,832 (54.62%)","1,683 (50.18%)"
62921,132 (33.5%),122 (30.96%)
62922,"1,184 (46.76%)","1,093 (43.17%)"
62923,225 (46.78%),192 (39.92%)
62924,"1,404 (47.63%)","1,298 (44.03%)"
62926,739 (30.77%),680 (28.31%)
62927,137 (35.77%),125 (32.64%)
62928,112 (61.2%),107 (58.47%)
62930,"2,574 (42.38%)","2,398 (39.48%)"
62931,566 (39.17%),523 (36.19%)
62932,641 (42.79%),593 (39.59%)
62933,659 (47.58%),605 (43.68%)
62934,399 (44.24%),368 (40.8%)
62935,839 (46.64%),791 (43.97%)
62938,919 (30.36%),820 (27.09%)
62939,"1,367 (43.94%)","1,255 (40.34%)"
62940,182 (53.53%),167 (49.12%)
62941,271 (30.28%),246 (27.49%)
62942,261 (46.77%),230 (41.22%)
62943,211 (58.61%),186 (51.67%)
62946,"5,512 (43.53%)","5,050 (39.88%)"
62947,236 (52.56%),218 (48.55%)
62948,"6,194 (46.98%)","5,760 (43.69%)"
62949,331 (39.74%),309 (37.09%)
62950,91 (44.61%),83 (40.69%)
62951,"2,308 (50.89%)","2,165 (47.74%)"
62952,"1,418 (45.14%)","1,314 (41.83%)"
62953,108 (34.5%),100 (31.95%)
62954,198 (41.68%),190 (40%)
62956,309 (33.92%),278 (30.52%)
62957,95 (10.2%),88 (9.45%)
62958,"1,391 (64.82%)","1,314 (61.23%)"
62959,"13,042 (46.25%)","12,111 (42.95%)"
62960,"4,213 (38.44%)","3,822 (34.88%)"
62961,*,*
62962,*,*
62963,152 (23.28%),135 (20.67%)
62964,362 (28.04%),326 (25.25%)
62965,38 (43.18%),38 (43.18%)
62966,"7,682 (50.34%)","7,108 (46.58%)"
62967,113 (47.68%),109 (45.99%)
62969,77 (19.35%),67 (16.83%)
62970,182 (22.22%),163 (19.9%)
62972,461 (44.37%),431 (41.48%)
62974,581 (35.73%),537 (33.03%)
62975,170 (52.31%),158 (48.62%)
62976,138 (38.23%),122 (33.8%)
62977,277 (37.23%),262 (35.22%)
62979,602 (53.09%),563 (49.65%)
62982,494 (51.46%),447 (46.56%)
62983,657 (46.56%),614 (43.52%)
62984,676 (41.14%),613 (37.31%)
62985,334 (46.91%),309 (43.4%)
62987,418 (29.35%),382 (26.83%)
62988,387 (24.65%),356 (22.68%)
62990,143 (17.65%),127 (15.68%)
62992,324 (46.96%),283 (41.01%)
62994,326 (52.16%),308 (49.28%)
62995,"2,597 (43.81%)","2,318 (39.1%)"
62996,185 (39.87%),170 (36.64%)
62997,224 (37.46%),214 (35.79%)
62998,121 (37.46%),113 (34.98%)
62999,639 (35.62%),589 (32.83%)
