ZIP Code,One Dose Administered,Persons Fully Vaccinated
60513,"13,187 (69.85%)","12,568 (66.57%)"
60514,"7,229 (71.51%)","6,927 (68.52%)"
60515,"21,062 (73.73%)","20,199 (70.71%)"
60516,"20,355 (69.55%)","19,529 (66.72%)"
60517,"22,752 (70.38%)","21,662 (67.01%)"
60518,"1,580 (44.59%)","1,504 (42.45%)"
60519,47 (74.6%),44 (69.84%)
60520,"1,494 (53.17%)","1,403 (49.93%)"
60521,"13,271 (72.12%)","12,470 (67.76%)"
60523,"8,213 (81.03%)","7,635 (75.33%)"
60525,"22,646 (74.06%)","21,601 (70.65%)"
60526,"9,979 (73.67%)","9,566 (70.62%)"
60527,"19,790 (70.92%)","18,656 (66.86%)"
60530,326 (67.36%),311 (64.26%)
60531,814 (46.28%),778 (44.23%)
60532,"19,508 (69.23%)","18,656 (66.21%)"
60534,"6,191 (58.72%)","5,768 (54.7%)"
60536,119 (100%),113 (97.41%)
60537,249 (38.49%),232 (35.86%)
60538,"17,361 (61.02%)","16,191 (56.91%)"
60539,157 (57.51%),140 (51.28%)
60540,"32,461 (71.96%)","31,109 (68.96%)"
60541,"1,428 (39.02%)","1,315 (35.93%)"
60542,"12,580 (69.41%)","11,915 (65.74%)"
60543,"26,041 (65.06%)","24,372 (60.89%)"
60544,"18,518 (69.88%)","17,385 (65.61%)"
60545,"7,637 (57.6%)","6,988 (52.7%)"
60546,"11,629 (74.14%)","10,987 (70.05%)"
60548,"6,556 (52.98%)","6,175 (49.9%)"
60549,347 (100%),335 (100%)
60550,699 (48.07%),668 (45.94%)
60551,"2,360 (42.91%)","2,213 (40.24%)"
60552,"2,238 (50.85%)","2,104 (47.81%)"
60553,351 (50.07%),336 (47.93%)
60554,"8,003 (65.78%)","7,568 (62.21%)"
60555,"9,590 (71.31%)","9,075 (67.48%)"
60556,"1,033 (50.91%)",974 (48%)
60557,27 (17.2%),26 (16.56%)
60558,"10,140 (76.66%)","9,776 (73.91%)"
60559,"16,189 (66%)","15,416 (62.85%)"
60560,"15,994 (64.27%)","14,834 (59.61%)"
60561,"16,594 (71.64%)","15,883 (68.57%)"
60563,"27,176 (72.65%)","25,982 (69.45%)"
60564,"35,594 (83.72%)","33,644 (79.14%)"
60565,"30,785 (75.5%)","29,610 (72.62%)"
60585,"16,973 (69.65%)","15,975 (65.56%)"
60586,"29,139 (61.1%)","27,085 (56.79%)"
60601,"13,313 (90.72%)","11,289 (76.93%)"
60602,"1,589 (100%)","1,176 (94.53%)"
60603,"1,956 (100%)","1,325 (100%)"
60604,945 (100%),781 (99.87%)
60605,"22,287 (80.99%)","20,425 (74.22%)"
60606,"3,520 (100%)","3,117 (100%)"
60607,"21,578 (72.92%)","20,086 (67.88%)"
60608,"52,109 (65.79%)","48,678 (61.46%)"
60609,"36,973 (60.12%)","33,856 (55.05%)"
60610,"29,008 (74.34%)","26,646 (68.29%)"
60611,"29,051 (89.59%)","25,226 (77.8%)"
60612,"19,434 (56.64%)","17,539 (51.12%)"
60613,"38,267 (76.36%)","36,086 (72.01%)"
60614,"48,428 (67.91%)","45,252 (63.46%)"
60615,"27,307 (65.7%)","25,093 (60.37%)"
60616,"36,677 (67.34%)","34,049 (62.52%)"
60617,"42,829 (51.89%)","38,565 (46.73%)"
60618,"63,603 (67.38%)","60,052 (63.62%)"
60619,"31,286 (51.07%)","28,096 (45.87%)"
60620,"33,146 (48.68%)","29,617 (43.49%)"
60621,"12,524 (43.12%)","10,901 (37.54%)"
60622,"38,341 (72.63%)","35,999 (68.19%)"
60623,"50,852 (59.14%)","46,269 (53.81%)"
60624,"17,477 (48.34%)","15,254 (42.19%)"
60625,"54,881 (69.26%)","51,622 (65.14%)"
60626,"33,843 (68.05%)","31,489 (63.32%)"
60628,"32,142 (48.17%)","28,385 (42.54%)"
60629,"73,563 (65.77%)","68,401 (61.15%)"
60630,"36,680 (63.96%)","34,756 (60.61%)"
60631,"19,922 (67.47%)","19,004 (64.36%)"
60632,"60,247 (66.18%)","56,417 (61.97%)"
60633,"6,668 (51.81%)","6,066 (47.13%)"
60634,"47,961 (63.11%)","44,925 (59.12%)"
60636,"16,228 (50.39%)","14,226 (44.18%)"
60637,"24,301 (51.21%)","21,570 (45.45%)"
60638,"34,793 (59.17%)","32,701 (55.62%)"
60639,"60,527 (66.87%)","54,977 (60.74%)"
60640,"50,435 (72.34%)","46,980 (67.39%)"
60641,"47,496 (66.87%)","44,247 (62.3%)"
60642,"14,585 (72.2%)","13,624 (67.44%)"
60643,"29,592 (59.34%)","27,213 (54.57%)"
60644,"22,282 (46.7%)","19,657 (41.2%)"
60645,"32,323 (67.72%)","29,866 (62.57%)"
60646,"19,382 (69.25%)","18,406 (65.77%)"
60647,"60,667 (69.33%)","56,645 (64.73%)"
60649,"21,309 (46.3%)","19,023 (41.33%)"
60651,"36,577 (57.86%)","32,942 (52.11%)"
60652,"27,038 (61.58%)","25,141 (57.26%)"
60653,"16,925 (52.94%)","15,231 (47.64%)"
60654,"17,248 (90.14%)","15,388 (80.42%)"
60655,"17,224 (59.8%)","16,331 (56.7%)"
60656,"16,879 (61.2%)","15,945 (57.82%)"
60657,"51,972 (74.19%)","49,111 (70.11%)"
60659,"27,798 (67.69%)","25,819 (62.87%)"
60660,"30,450 (70.42%)","28,487 (65.88%)"
60661,"8,771 (88.36%)","8,185 (82.46%)"
60706,"14,101 (60.52%)","13,353 (57.31%)"
60707,"27,488 (63.9%)","25,614 (59.54%)"
60712,"9,931 (79.2%)","9,252 (73.79%)"
60714,"21,076 (70.86%)","19,936 (67.03%)"
60803,"12,864 (57.45%)","12,019 (53.68%)"
60804,"53,317 (64.12%)","47,903 (57.61%)"
60805,"13,118 (66.7%)","12,367 (62.89%)"
60827,"10,491 (36.71%)","9,308 (32.57%)"
60901,"15,868 (44.69%)","14,682 (41.35%)"
60910,209 (31.15%),196 (29.21%)
60911,489 (37.39%),471 (36.01%)
60912,190 (36.47%),178 (34.17%)
60913,698 (49.54%),667 (47.34%)
60914,"14,533 (48.49%)","13,647 (45.54%)"
60915,"4,842 (47.84%)","4,501 (44.47%)"
60917,236 (44.61%),226 (42.72%)
60918,371 (47.75%),344 (44.27%)
60919,206 (42.83%),199 (41.37%)
60920,77 (38.69%),71 (35.68%)
60921,579 (38.17%),543 (35.79%)
60922,894 (37.42%),851 (35.62%)
60924,789 (53.13%),760 (51.18%)
60926,22 (62.86%),20 (57.14%)
60927,876 (41.6%),829 (39.36%)
60928,327 (42.19%),316 (40.77%)
60929,336 (41.84%),321 (39.98%)
60930,414 (44.76%),386 (41.73%)
60931,225 (41.9%),214 (39.85%)
60932,36 (39.13%),35 (38.04%)
60933,138 (44.23%),135 (43.27%)
60934,113 (43.63%),106 (40.93%)
60935,487 (40.25%),464 (38.35%)
60936,"2,385 (58.13%)","2,254 (54.94%)"
60938,"1,053 (53.75%)",990 (50.54%)
60940,"1,379 (40.17%)","1,290 (37.58%)"
60941,980 (44.95%),938 (43.03%)
60942,"2,434 (41.46%)","2,307 (39.29%)"
60945,45 (25.71%),41 (23.43%)
60946,156 (35.06%),143 (32.13%)
60948,869 (58.09%),822 (54.95%)
60949,231 (43.18%),211 (39.44%)
60950,"6,258 (53.02%)","5,907 (50.05%)"
60951,337 (40.85%),321 (38.91%)
60952,250 (36.44%),231 (33.67%)
60953,960 (39.2%),923 (37.69%)
60954,"2,706 (46.29%)","2,530 (43.28%)"
60955,994 (61.59%),936 (57.99%)
60957,"2,891 (54.67%)","2,597 (49.11%)"
60958,653 (36.6%),603 (33.8%)
60959,444 (41.89%),411 (38.77%)
60960,390 (35.71%),374 (34.25%)
60961,343 (47.31%),328 (45.24%)
60962,220 (34.11%),208 (32.25%)
60963,689 (36.36%),657 (34.67%)
60964,"2,333 (46.02%)","2,183 (43.06%)"
60966,518 (31.86%),486 (29.89%)
60968,193 (57.61%),175 (52.24%)
60969,31 (53.45%),27 (46.55%)
60970,"3,110 (44.76%)","2,946 (42.4%)"
60973,138 (33.58%),135 (32.85%)
60974,92 (31.29%),90 (30.61%)
61001,529 (50.77%),499 (47.89%)
61006,745 (39.11%),706 (37.06%)
61007,242 (47.73%),230 (45.36%)
61008,"19,384 (56.53%)","18,120 (52.84%)"
61010,"4,160 (53.3%)","3,950 (50.61%)"
61011,"1,794 (77.13%)","1,704 (73.26%)"
61012,"1,027 (42.23%)",953 (39.19%)
61013,316 (62.7%),304 (60.32%)
61014,486 (37.7%),467 (36.23%)
61015,437 (39.48%),426 (38.48%)
61016,"2,993 (60.32%)","2,807 (56.57%)"
61018,469 (46.81%),446 (44.51%)
61019,"1,859 (57.31%)","1,783 (54.96%)"
61020,"1,525 (48.71%)","1,424 (45.48%)"
61021,"13,064 (56.72%)","12,452 (54.07%)"
61024,"1,215 (47.95%)","1,143 (45.11%)"
61025,780 (16.79%),757 (16.3%)
61027,23 (29.87%),23 (29.87%)
61028,987 (48.12%),963 (46.95%)
61030,967 (42.01%),919 (39.92%)
61031,716 (46.46%),683 (44.32%)
61032,"14,721 (49.24%)","13,945 (46.65%)"
61036,"4,260 (64.35%)","4,028 (60.85%)"
61037,59 (100%),58 (100%)
61038,591 (51.44%),553 (48.13%)
61039,356 (35.18%),347 (34.29%)
61041,570 (59.44%),534 (55.68%)
61042,227 (37.52%),215 (35.54%)
61043,57 (75%),56 (73.68%)
61044,90 (32.49%),88 (31.77%)
61046,"1,443 (58.87%)","1,390 (56.71%)"
61047,792 (43.07%),750 (40.78%)
61048,"1,933 (49.87%)","1,855 (47.86%)"
61049,259 (46.25%),243 (43.39%)
61050,120 (26.97%),115 (25.84%)
61051,745 (44.14%),723 (42.83%)
61052,507 (61.75%),481 (58.59%)
61053,"1,217 (46.59%)","1,152 (44.1%)"
61054,"1,894 (51.55%)","1,792 (48.78%)"
61057,37 (33.33%),38 (34.23%)
61059,47 (22.17%),46 (21.7%)
61060,606 (42.53%),581 (40.77%)
61061,"3,859 (60.47%)","3,672 (57.54%)"
61062,817 (45.31%),779 (43.21%)
61063,"1,982 (46.53%)","1,871 (43.92%)"
61064,"1,840 (50.55%)","1,766 (48.52%)"
61065,"5,934 (57.28%)","5,544 (53.51%)"
61067,326 (43.35%),317 (42.15%)
61068,"7,805 (54.62%)","7,167 (50.16%)"
61070,455 (30.27%),434 (28.88%)
61071,"7,284 (52.04%)","6,954 (49.68%)"
61072,"6,363 (55.02%)","6,036 (52.19%)"
61073,"11,539 (60.21%)","10,896 (56.85%)"
61074,"1,558 (37.2%)","1,499 (35.79%)"
61075,454 (45.77%),422 (42.54%)
61077,46 (100%),43 (100%)
61078,575 (45.89%),555 (44.29%)
61079,58 (34.12%),54 (31.76%)
61080,"4,781 (45.8%)","4,458 (42.7%)"
61081,"12,374 (58.56%)","11,787 (55.79%)"
61084,"1,631 (52.87%)","1,548 (50.18%)"
61085,"1,260 (34.72%)","1,219 (33.59%)"
61087,641 (42.93%),613 (41.06%)
61088,"3,368 (55.65%)","3,187 (52.66%)"
61089,262 (35.99%),257 (35.3%)
61091,30 (66.67%),28 (62.22%)
61101,"8,747 (44.75%)","7,968 (40.77%)"
61102,"8,102 (45.62%)","7,315 (41.19%)"
61103,"11,722 (48.92%)","10,752 (44.87%)"
61104,"6,993 (35.95%)","6,124 (31.48%)"
61107,"18,705 (60.52%)","17,514 (56.67%)"
61108,"16,550 (59.49%)","15,346 (55.16%)"
61109,"13,584 (49.9%)","12,396 (45.53%)"
61111,"13,112 (55.01%)","12,319 (51.68%)"
61112,53 (80.3%),50 (75.76%)
61114,"10,220 (65.55%)","9,648 (61.88%)"
61115,"11,602 (51.4%)","10,911 (48.33%)"
61201,"17,971 (46.82%)","16,107 (41.96%)"
61230,294 (26.23%),267 (23.82%)
61231,"2,809 (53.88%)","2,659 (51.01%)"
61232,698 (56.79%),642 (52.24%)
61234,722 (56.99%),687 (54.22%)
61235,725 (47.73%),698 (45.95%)
61236,33 (26.83%),25 (20.33%)
61238,"1,420 (40.18%)","1,333 (37.72%)"
61239,445 (35.92%),383 (30.91%)
61240,"3,290 (53.6%)","2,985 (48.63%)"
61241,"3,255 (47.68%)","2,985 (43.72%)"
61242,468 (38.74%),412 (34.11%)
61243,105 (42.34%),100 (40.32%)
61244,"12,302 (51.95%)","10,831 (45.74%)"
61250,"1,091 (43.61%)","1,025 (40.97%)"
61251,149 (44.21%),138 (40.95%)
61252,"1,129 (21.14%)","1,066 (19.96%)"
61254,"6,751 (61.35%)","6,321 (57.44%)"
61256,969 (49.39%),863 (43.99%)
61257,510 (42.57%),438 (36.56%)
61258,82 (34.75%),76 (32.2%)
61259,380 (29.62%),342 (26.66%)
61260,290 (27.31%),277 (26.08%)
61261,387 (41.43%),365 (39.08%)
61262,386 (34.37%),362 (32.24%)
61263,302 (40.65%),272 (36.61%)
61264,"5,500 (51.78%)","4,969 (46.78%)"
61265,"23,535 (53.85%)","20,382 (46.63%)"
61270,"3,340 (47.67%)","3,187 (45.48%)"
61272,496 (41.4%),469 (39.15%)
61273,"1,724 (53.16%)","1,602 (49.4%)"
61274,152 (75.62%),139 (69.15%)
61275,"2,083 (43.85%)","1,864 (39.24%)"
61276,74 (67.27%),67 (60.91%)
61277,"1,619 (49.89%)","1,537 (47.37%)"
61278,273 (56.99%),245 (51.15%)
61279,457 (52.53%),417 (47.93%)
61281,"1,376 (57.48%)","1,273 (53.17%)"
61282,"4,448 (56.88%)","3,988 (51%)"
61283,566 (32.49%),536 (30.77%)
61284,"1,212 (57.44%)","1,122 (53.18%)"
61285,447 (27.47%),416 (25.57%)
61301,"5,740 (56.9%)","5,344 (52.97%)"
61310,"1,938 (51.71%)","1,838 (49.04%)"
61311,107 (52.45%),98 (48.04%)
61312,256 (50.1%),241 (47.16%)
61313,113 (54.07%),108 (51.67%)
61314,349 (39.44%),325 (36.72%)
61315,131 (61.5%),123 (57.75%)
61316,138 (46.15%),131 (43.81%)
61317,229 (47.81%),210 (43.84%)
61318,309 (36.57%),295 (34.91%)
61319,470 (32.78%),452 (31.52%)
61320,384 (53.04%),359 (49.59%)
61321,132 (53.23%),128 (51.61%)
61322,822 (56.53%),724 (49.79%)
61323,53 (58.24%),50 (54.95%)
61324,55 (59.78%),55 (59.78%)
61325,513 (52.89%),492 (50.72%)
61326,"1,178 (51.28%)","1,120 (48.76%)"
61327,669 (50.45%),640 (48.27%)
61328,16 (64%),17 (68%)
61329,720 (60.76%),677 (57.13%)
61330,721 (50.17%),670 (46.62%)
61331,15 (83.33%),13 (72.22%)
61332,60 (77.92%),54 (70.13%)
61333,136 (42.11%),133 (41.18%)
61334,325 (44.4%),305 (41.67%)
61335,285 (64.63%),269 (61%)
61336,249 (43.76%),231 (40.6%)
61337,210 (53.44%),196 (49.87%)
61338,149 (57.98%),142 (55.25%)
61340,194 (79.18%),176 (71.84%)
61341,"4,058 (50.73%)","3,872 (48.41%)"
61342,"5,073 (57.89%)","4,726 (53.93%)"
61344,153 (40.69%),146 (38.83%)
61345,411 (49.22%),385 (46.11%)
61346,35 (52.24%),29 (43.28%)
61348,"2,783 (62.08%)","2,615 (58.33%)"
61349,461 (53.42%),424 (49.13%)
61350,"14,233 (59.71%)","13,453 (56.44%)"
61353,612 (50.96%),579 (48.21%)
61354,"6,758 (63.82%)","6,351 (59.98%)"
61356,"6,211 (58.16%)","5,759 (53.92%)"
61358,173 (55.45%),166 (53.21%)
61359,173 (51.18%),162 (47.93%)
61360,"1,548 (42.09%)","1,468 (39.91%)"
61361,629 (56.31%),583 (52.19%)
61362,"3,559 (63.72%)","3,304 (59.16%)"
61363,122 (45.86%),117 (43.98%)
61364,"8,966 (47.06%)","8,444 (44.32%)"
61367,426 (57.65%),404 (54.67%)
