zip,city,county,pop
60618,Chicago,Cook,94907
60619,Chicago,Cook,61207
60620,Chicago,Cook,67711
60621,Chicago,Cook,28018
60622,Chicago,Cook,53294
60623,Chicago,Cook,81283
60624,Chicago,Cook,34892
60625,Chicago,Cook,79444
60626,Chicago,Cook,50544
60628,Chicago,Cook,64254
60629,Chicago,Cook,110029
60630,Chicago,Cook,56433
60631,Chicago,Cook,29529
60632,Chicago,Cook,89857
60633,Chicago,Cook,12689
60634,Chicago,Cook,75082
60636,Chicago,Cook,30024
60637,Chicago,Cook,47300
60638,Chicago,Cook,58669
60639,Chicago,Cook,88204
60640,Chicago,Cook,69363
60641,Chicago,Cook,69880
60643,Chicago,Cook,48887
60644,Chicago,Cook,46591
60645,Chicago,Cook,47270
60646,Chicago,Cook,28569
60647,Chicago,Cook,87633
60649,Chicago,Cook,46633
60651,Chicago,Cook,63492
60652,Chicago,Cook,43447
60653,Chicago,Cook,33154
60654,Chicago,Cook,20022
60655,Chicago,Cook,28569
60656,Chicago,Cook,28218
60657,Chicago,Cook,70958
60659,Chicago,Cook,42735
60660,Chicago,Cook,44498
60661,Chicago,Cook,10354
60706,Harwood Heights,Cook,23114
60707,Elmwood Park,Cook,43093
60712,Lincolnwood,Cook,12434
60714,Niles,Cook,29520
60803,Alsip,Cook,22405
60804,Cicero,Cook,82383
60805,Evergreen Park,Cook,19479
60827,Riverdale,Cook,28483
60901,Kankakee,Kankakee,35407
60910,Aroma Park,Kankakee,575
60911,Ashkum,Iroquois,1311
60912,Beaverville,Iroquois,502
60913,Bonfield,Kankakee,1413
60914,Bourbonnais,Kankakee,29797
60915,Bradley,Kankakee,10278
60917,Buckingham,Kankakee,538
60918,Buckley,Iroquois,717
60919,Cabery,Ford,482
60920,Campus,Livingston,169
60921,Chatsworth,Livingston,1512
60922,Chebanse,Iroquois,2576
60924,Cissna Park,Iroquois,1515
60926,Claytonville,Iroquois,42
60927,Clifton,Iroquois,2053
60928,Crescent City,Iroquois,675
60929,Cullom,Livingston,707
60930,Danforth,Iroquois,985
60931,Donovan,Iroquois,591
60932,East Lynn,Vermilion,61
60933,Elliott,Ford,272
60934,Emington,Livingston,233
60935,Essex,Kankakee,1229
60936,Gibson City,Ford,4074
60938,Gilman,Iroquois,1975
60940,Grant Park,Kankakee,3170
60941,Herscher,Kankakee,2200
60942,Hoopeston,Vermilion,5898
60945,Iroquois,Iroquois,179
60946,Kempton,Ford,404
60948,Loda,Iroquois,1570
60949,Ludlow,Champaign,488
60950,Manteno,Kankakee,11592
60951,Martinton,Iroquois,803
60952,Melvin,Ford,657
60953,Milford,Iroquois,2425
60954,Momence,Kankakee,5820
60955,Onarga,Iroquois,1655
60957,Paxton,Ford,5311
60959,Piper City,Ford,1081
60960,Rankin,Vermilion,1036
60961,Reddick,Kankakee,786
60962,Roberts,Ford,539
60963,Rossville,Vermilion,1715
60964,Saint Anne,Kankakee,4857
60966,Sheldon,Iroquois,1541
60968,Thawville,Iroquois,474
60969,Union Hill,Kankakee,78
60970,Watseka,Iroquois,6753
60973,Wellington,Iroquois,345
60974,Woodland,Iroquois,211
61001,Apple River,Jo Daviess,1074
61006,Ashton,Lee,1841
61007,Baileyville,Ogle,502
61008,Belvidere,Boone,33935
61010,Byron,Ogle,7650
61011,Caledonia,Boone,2497
61012,Capron,Boone,2496
61013,Cedarville,Stephenson,456
61014,Chadwick,Carroll,989
61015,Chana,Ogle,1049
61016,Cherry Valley,Winnebago,4627
61018,Dakota,Stephenson,962
61019,Davis,Stephenson,3309
61020,Davis Junction,Ogle,3040
61021,Dixon,Lee,22848
61024,Durand,Winnebago,2465
61025,East Dubuque,Jo Daviess,4654
61027,Eleroy,Stephenson,73
61028,Elizabeth,Jo Daviess,1986
61030,Forreston,Ogle,2249
61031,Franklin Grove,Lee,1569
61032,Freeport,Stephenson,29702
61036,Galena,Jo Daviess,6414
61037,Galt,Whiteside,64
61038,Garden Prairie,Boone,1280
61039,German Valley,Stephenson,953
61041,Hanover,Jo Daviess,1162
61042,Harmon,Lee,625
61043,Holcomb,Ogle,121
61044,Kent,Stephenson,272
61046,Lanark,Carroll,2330
61047,Leaf River,Ogle,1669
61048,Lena,Stephenson,3807
61049,Lindenwood,Ogle,543
61050,Mc Connell,Stephenson,455
61051,Milledgeville,Carroll,1634
61052,Monroe Center,Ogle,846
61053,Mount Carroll,Carroll,2681
61054,Mount Morris,Ogle,3657
61057,Nachusa,Lee,97
61059,Nora,Jo Daviess,202
61060,Orangeville,Stephenson,1357
61061,Oregon,Ogle,6434
61062,Pearl City,Stephenson,1842
61063,Pecatonica,Winnebago,4503
61064,Polo,Ogle,3916
61065,Poplar Grove,Boone,10700
61067,Ridott,Stephenson,733
61068,Rochelle,Ogle,14246
61070,Rock City,Stephenson,1374
61071,Rock Falls,Whiteside,13982
61072,Rockton,Winnebago,11345
61073,Roscoe,Winnebago,19501
61074,Savanna,Carroll,4238
61075,Scales Mound,Jo Daviess,976
61077,Seward,Winnebago,33
61078,Shannon,Carroll,1299
61079,Shirland,Winnebago,189
61080,South Beloit,Winnebago,10479
61081,Sterling,Whiteside,21121
61084,Stillman Valley,Ogle,3061
61085,Stockton,Jo Daviess,3352
61087,Warren,Jo Daviess,1563
61088,Winnebago,Winnebago,6216
61089,Winslow,Stephenson,739
61091,Woosung,Ogle,67
61101,Rockford,Winnebago,19242
61102,Rockford,Winnebago,17721
61103,Rockford,Winnebago,23512
61104,Rockford,Winnebago,19492
61107,Rockford,Winnebago,30116
61108,Rockford,Winnebago,28205
61109,Rockford,Winnebago,26910
61111,Loves Park,Winnebago,23260
61112,Rockford,Winnebago,62
61114,Rockford,Winnebago,15958
61115,Machesney Park,Winnebago,22502
61201,Rock Island,Rock Island,38024
61230,Albany,Whiteside,1037
61231,Aledo,Mercer,5216
61232,Andalusia,Rock Island,1318
61234,Annawan,Henry,1230
61235,Atkinson,Henry,1498
61236,Barstow,Rock Island,98
61238,Cambridge,Henry,3369
61239,Carbon Cliff,Rock Island,1122
61240,Coal Valley,Rock Island,5842
61241,Colona,Henry,7035
61242,Cordova,Rock Island,1322
61243,Deer Grove,Whiteside,241
61244,East Moline,Rock Island,23361
61250,Erie,Whiteside,2489
61251,Fenton,Whiteside,357
61252,Fulton,Whiteside,5293
61254,Geneseo,Henry,11003
61256,Hampton,Rock Island,2088
61257,Hillsdale,Rock Island,1112
61258,Hooppole,Henry,184
61259,Illinois City,Rock Island,1158
61260,Joy,Mercer,964
61261,Lyndon,Whiteside,903
61262,Lynn Center,Henry,1039
61263,Matherville,Mercer,743
61264,Milan,Rock Island,10485
61265,Moline,Rock Island,43472
61270,Morrison,Whiteside,6938
61272,New Boston,Mercer,1170
61273,Orion,Henry,3176
61274,Osco,Henry,267
61275,Port Byron,Rock Island,4710
61276,Preemption,Mercer,63
61277,Prophetstown,Whiteside,3225
61278,Rapids City,Rock Island,514
61279,Reynolds,Rock Island,909
61281,Sherrard,Mercer,2460
61282,Silvis,Rock Island,7732
61283,Tampico,Whiteside,1909
61284,Taylor Ridge,Rock Island,1973
61285,Thomson,Carroll,1650
61301,La Salle,La Salle,9807
61310,Amboy,Lee,3825
61311,Ancona,Livingston,226
61312,Arlington,Bureau,485
61313,Blackstone,Livingston,203
61314,Buda,Bureau,952
61315,Bureau,Bureau,240
61316,Cedar Point,La Salle,250
61317,Cherry,Bureau,405
61318,Compton,Lee,774
61319,Cornell,Livingston,1440
61320,Dalzell,Bureau,681
61321,Dana,La Salle,312
61322,Depue,Bureau,1601
61323,Dover,Bureau,78
61324,Eldena,Lee,128
61325,Grand Ridge,La Salle,1062
61326,Granville,Putnam,2314
61327,Hennepin,Putnam,1278
61328,Kasbeer,Bureau,26
61329,Ladd,Bureau,1211
61330,La Moille,Bureau,1395
61331,Lee Center,Lee,18
61332,Leonore,La Salle,125
61333,Long Point,Livingston,383
61334,Lostant,La Salle,722
61335,Mc Nabb,Putnam,403
61336,Magnolia,Putnam,484
61337,Malden,Bureau,458
61338,Manlius,Bureau,226
61340,Mark,Putnam,263
61341,Marseilles,La Salle,8053
61342,Mendota,La Salle,8435
61344,Mineral,Bureau,364
61345,Neponset,Bureau,720
61346,New Bedford,Bureau,63
61348,Oglesby,La Salle,4520
61349,Ohio,Bureau,948
61350,Ottawa,La Salle,24182
61353,Paw Paw,Lee,1191
61354,Peru,La Salle,10531
61356,Princeton,Bureau,10627
61358,Rutland,La Salle,293
61359,Seatonville,Bureau,330
61360,Seneca,La Salle,3050
61361,Sheffield,Bureau,1198
61362,Spring Valley,Bureau,5550
61363,Standard,Putnam,287
61364,Streator,La Salle,18908
61367,Sublette,Lee,759
61368,Tiskilwa,Bureau,1366
61369,Toluca,Marshall,1525
61370,Tonica,La Salle,1504
61372,Troy Grove,La Salle,151
61373,Utica,La Salle,2153
61374,Van Orin,Bureau,83
61375,Varna,Marshall,1136
61376,Walnut,Bureau,2018
61377,Wenona,Marshall,1393
61378,West Brooklyn,Lee,325
61379,Wyanet,Bureau,1291
61401,Galesburg,Knox,32937
61410,Abingdon,Knox,3921
61411,Adair,Mcdonough,397
61412,Alexis,Mercer,1400
61413,Alpha,Henry,932
61414,Altona,Knox,958
61415,Avon,Fulton,1954
61416,Bardolph,Mcdonough,256
61417,Berwick,Warren,277
61418,Biggsville,Henderson,576
61419,Bishop Hill,Henry,118
61420,Blandinsville,Mcdonough,1172
61421,Bradford,Stark,1481
61422,Bushnell,Mcdonough,3175
61423,Cameron,Warren,639
61424,Camp Grove,Marshall,119
61425,Carman,Henderson,435
61426,Castleton,Stark,147
61427,Cuba,Fulton,2174
61428,Dahinda,Knox,1071
61430,East Galesburg,Knox,654
61431,Ellisville,Fulton,252
61432,Fairview,Fulton,675
61433,Fiatt,Fulton,128
61434,Galva,Henry,2876
61435,Gerlaw,Warren,23
61436,Gilson,Knox,732
61437,Gladstone,Henderson,743
61438,Good Hope,Mcdonough,842
61439,Henderson,Knox,215
61440,Industry,Mcdonough,695
61441,Ipava,Fulton,955
61442,Keithsburg,Mercer,657
61443,Kewanee,Henry,13736
61447,Kirkwood,Warren,1069
61448,Knoxville,Knox,3814
61449,La Fayette,Stark,299
61450,La Harpe,Hancock,1662
61451,Laura,Peoria,333
61452,Littleton,Schuyler,216
61453,Little York,Warren,557
61454,Lomax,Henderson,484
61455,Macomb,Mcdonough,20294
61458,Maquon,Knox,636
61459,Marietta,Fulton,388
61460,Media,Henderson,313
61462,Monmouth,Warren,11435
61465,New Windsor,Mercer,1162
61466,North Henderson,Mercer,295
61467,Oneida,Knox,1107
61468,Opheim,Henry,206
61469,Oquawka,Henderson,2213
61470,Prairie City,Mcdonough,499
61471,Raritan,Henderson,114
61472,Rio,Knox,608
61473,Roseville,Warren,1429
61474,Saint Augustine,Knox,257
61475,Sciota,Mcdonough,249
61476,Seaton,Mercer,433
61477,Smithfield,Fulton,511
61478,Smithshire,Warren,293
61479,Speer,Stark,59
61480,Stronghurst,Henderson,1171
61482,Table Grove,Fulton,598
61483,Toulon,Stark,1923
61484,Vermont,Fulton,880
61485,Victoria,Knox,433
61486,Viola,Mercer,1514
61488,Wataga,Knox,1149
61489,Williamsfield,Knox,767
61490,Woodhull,Henry,1082
61491,Wyoming,Stark,1922
61501,Astoria,Fulton,1545
61516,Benson,Woodford,784
61517,Brimfield,Peoria,3439
61519,Bryant,Fulton,246
61520,Canton,Fulton,16703
61523,Chillicothe,Peoria,11055
61524,Dunfermline,Fulton,300
61525,Dunlap,Peoria,8912
61526,Edelstein,Peoria,743
61528,Edwards,Peoria,2987
61529,Elmwood,Peoria,2809
61530,Eureka,Woodford,6931
61531,Farmington,Fulton,3285
61532,Forest City,Mason,588
61533,Glasford,Peoria,2360
61534,Green Valley,Tazewell,1835
61535,Groveland,Tazewell,2003
61536,Hanna City,Peoria,2866
61537,Henry,Marshall,2904
61539,Kingston Mines,Peoria,173
61540,Lacon,Marshall,2680
61541,La Rose,Marshall,76
61542,Lewistown,Fulton,3602
61543,Liverpool,Fulton,137
61544,London Mills,Fulton,724
61545,Lowpoint,Woodford,697
61546,Manito,Mason,3605
61547,Mapleton,Peoria,4047
61548,Metamora,Woodford,12171
61550,Morton,Tazewell,17805
61552,Mossville,Peoria,191
61553,Norris,Fulton,161
61554,Pekin,Tazewell,41661
61559,Princeville,Stark,3223
61560,Putnam,Putnam,594
61561,Roanoke,Woodford,2507
61562,Rome,Peoria,45
61563,Saint David,Fulton,509
61564,South Pekin,Tazewell,1082
61565,Sparland,Marshall,1460
61567,Topeka,Mason,506
61568,Tremont,Tazewell,4352
61569,Trivoli,Peoria,1225
61570,Washburn,Marshall,1946
61571,Washington,Tazewell,24903
61572,Yates City,Knox,1290
61602,Peoria,Peoria,828
61603,Peoria,Peoria,16695
61604,Peoria,Peoria,29606
61605,Peoria,Peoria,15195
61606,Peoria,Peoria,7919
61607,Peoria,Peoria,10766
61610,Creve Coeur,Tazewell,5213
61611,East Peoria,Tazewell,24303
61614,Peoria,Peoria,28207
61615,Peoria,Peoria,23219
61616,Peoria,Peoria,5860
61625,Peoria,Peoria,378
61701,Bloomington,Mclean,35669
61704,Bloomington,Mclean,36612
61720,Anchor,Mclean,215
61721,Armington,Tazewell,574
61722,Arrowsmith,Mclean,525
61723,Atlanta,Logan,2689
61724,Bellflower,Mclean,578
61725,Carlock,Mclean,1726
61726,Chenoa,Mclean,2476
61727,Clinton,Dewitt,9742
61728,Colfax,Mclean,1365
61729,Congerville,Woodford,1149
61730,Cooksville,Mclean,513
61731,Cropsey,Mclean,183
61732,Danvers,Mclean,2024
61733,Deer Creek,Tazewell,793
61734,Delavan,Tazewell,2792
61735,Dewitt,Dewitt,361
61736,Downs,Mclean,1874
61737,Ellsworth,Mclean,490
61738,El Paso,Woodford,4391
61739,Fairbury,Livingston,4614
61740,Flanagan,Livingston,1482
61741,Forrest,Livingston,1643
61742,Goodfield,Woodford,1263
61743,Graymont,Livingston,186
61744,Gridley,Mclean,1923
61745,Heyworth,Mclean,4658
61747,Hopedale,Tazewell,1439
61748,Hudson,Mclean,2652
61749,Kenney,Dewitt,535
61750,Lane,Dewitt,135
61751,Lawndale,Logan,93
61752,Le Roy,Mclean,4346
61753,Lexington,Mclean,3083
61754,Mc Lean,Mclean,1016
61755,Mackinaw,Tazewell,4783
61756,Maroa,Macon,2313
61759,Minier,Tazewell,1588
61760,Minonk,Woodford,2306
61761,Normal,Mclean,55152
61764,Pontiac,Livingston,13732
61769,Saunemin,Livingston,640
61770,Saybrook,Mclean,1046
61771,Secor,Woodford,855
61772,Shirley,Mclean,239
61773,Sibley,Ford,421
61774,Stanford,Mclean,979
61775,Strawn,Livingston,339
61776,Towanda,Mclean,1216
61777,Wapella,Dewitt,780
61778,Waynesville,Dewitt,649
61801,Urbana,Champaign,31312
61802,Urbana,Champaign,19509
61810,Allerton,Vermilion,285
61811,Alvin,Vermilion,709
61812,Armstrong,Vermilion,387
61813,Bement,Piatt,1598
61814,Bismarck,Vermilion,1072
61815,Bondville,Champaign,261
61816,Broadlands,Champaign,483
61817,Catlin,Vermilion,2528
61818,Cerro Gordo,Piatt,1814
61820,Champaign,Champaign,38393
61821,Champaign,Champaign,31207
61822,Champaign,Champaign,25530
61830,Cisco,Piatt,390
61831,Collison,Vermilion,139
61832,Danville,Vermilion,34421
61833,Tilton,Vermilion,2261
61834,Danville,Vermilion,8625
61839,De Land,Piatt,664
61840,Dewey,Champaign,619
61841,Fairmount,Vermilion,1278
61842,Farmer City,Dewitt,2765
61843,Fisher,Champaign,2494
61844,Fithian,Vermilion,755
61845,Foosland,Champaign,324
61846,Georgetown,Vermilion,4900
61847,Gifford,Champaign,1365
61848,Henning,Vermilion,242
61849,Homer,Champaign,1903
61850,Indianola,Vermilion,450
61851,Ivesdale,Champaign,334
61852,Longview,Champaign,222
61853,Mahomet,Champaign,13875
61854,Mansfield,Piatt,1193
61855,Milmine,Piatt,133
61856,Monticello,Piatt,7771
61857,Muncie,Vermilion,144
61858,Oakwood,Vermilion,2980
61859,Ogden,Champaign,1276
61862,Penfield,Champaign,564
61863,Pesotum,Champaign,872
61864,Philo,Champaign,1770
61865,Potomac,Vermilion,1642
61866,Rantoul,Champaign,14163
61870,Ridge Farm,Vermilion,1265
61871,Royal,Champaign,314
61872,Sadorus,Champaign,589
61873,Saint Joseph,Champaign,6308
61874,Savoy,Champaign,7982
61875,Seymour,Champaign,986
61876,Sidell,Vermilion,636
61877,Sidney,Champaign,1792
61878,Thomasboro,Champaign,1224
61880,Tolono,Champaign,4075
61882,Weldon,Dewitt,653
61883,Westville,Vermilion,4289
61884,White Heath,Piatt,1031
